barra_id,barra_nombre,registros,fecha_inicio,fecha_fin,costo_medio_usd,costo_std_usd
crucero_220,BA S/E CRUCERO 220KV BP1,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,64.03,59.18
encuentro_220,BA S/E ENCUENTRO 220KV BP1,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,63.97,59.24
diego_almagro_220,BA S/E DIEGO DE ALMAGRO 220KV BP1-1,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,62.64,57.34
cardones_500,BA S/E NUEVA CARDONES 500KV BP1,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,63.11,57.17
pan_azucar_500,BA S/E NUEVA PAN DE AZUCAR 500KV BPA,14163,2022-07-01 00:00:00,2025-08-31 00:00:00,60.3,56.33
los_vilos_220,BA S/E LOS VILOS 220KV BP1,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,64.35,57.32
quillota_220,BA S/E QUILLOTA 220KV BP1-1,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,68.42,56.77
polpaico_500,BA S/E POLPAICO (TRANSELEC) 500KV BPA,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,69.48,57.88
alto_jahuel_500,BA S/E ALTO JAHUEL 500KV BPA,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,70.29,58.46
charrua_500,BA S/E CHARRUA 500KV BP1-1,55779,2019-01-01 00:00:00,2025-08-31 00:00:00,68.3,56.92
